Journal name,JCR Abbreviation,ISSN,eISSN,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,Category
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,1365-2656,21334,5.606,Q1,2.04,26.56%,ECOLOGY - SCIE
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,67725,5.53,Q1,1.27,32.84%,ECOLOGY - SCIE
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,0084-0173,1938-5455,926,5.4,Q1,1,62.50%,ECOLOGY - SCIE
MAMMAL REVIEW,MAMMAL REV,0305-1838,1365-2907,3156,5.373,Q1,1.23,20.80%,ECOLOGY - SCIE
Fire Ecology,FIRE ECOL,1933-9747,1933-9747,1291,5.364,Q1,1.1,100%,ECOLOGY - SCIE
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2214-5745,2214-5753,4250,5.254,Q1,0.9,14.29%,ECOLOGY - SCIE
Advances in Ecological Research,ADV ECOL RES,0065-2504,2163-582X,2777,5.182,Q1,0.72,0%,ECOLOGY - SCIE
Biogeosciences,BIOGEOSCIENCES,1726-4170,1726-4189,25349,5.092,Q1,1.18,99.05%,ECOLOGY - SCIE
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,1572-9761,13472,5.043,Q1,1.09,25.54%,ECOLOGY - SCIE
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,2096-4129,2332-8878,971,4.971,Q1,0.73,100%,ECOLOGY - SCIE
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,1350-4509,1745-2627,3151,4.87,Q1,0.83,10.86%,ECOLOGY - SCIE
JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,0305-0270,1365-2699,19870,4.81,Q1,1.16,17.80%,ECOLOGY - SCIE
ECOLOGY AND SOCIETY,ECOL SOC,1708-3087,N/A,16035,4.653,Q1,1.05,98.02%,ECOLOGY - SCIE
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,0003-0090,1937-3546,3624,4.548,Q1,0.84,0%,ECOLOGY - SCIE
Ecological Informatics,ECOL INFORM,1574-9541,1878-0512,3848,4.498,Q2,1.04,9.96%,ECOLOGY - SCIE
Frontiers in Ecology and Evolution,FRONT ECOL EVOL,2296-701X,2296-701X,7755,4.493,Q2,0.81,98.92%,ECOLOGY - SCIE
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,31923,4.367,Q2,1.03,16.19%,ECOLOGY - SCIE
ECOSYSTEMS,ECOSYSTEMS,1432-9840,1435-0629,12357,4.345,Q2,1.13,24.73%,ECOLOGY - SCIE
Frontiers in Forests and Global Change,FRONT FOR GLOB CHANG,N/A,2624-893X,1178,4.332,Q2,1.24,98.84%,ECOLOGY - SCIE
OIKOS,OIKOS,0030-1299,1600-0706,25612,4.254,Q2,1.01,22.26%,ECOLOGY - SCIE
