Journal name,JCR Abbreviation,ISSN,eISSN,Total Citations,2021 JIF,2021 JCI,% of OA Gold,Category,JIF Quartile
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,1366-9516,1472-4642,12239,5.714,1.28,92.34%,ECOLOGY - SCIE,Q1
Plants People Planet,PLANTS PEOPLE PLANET,N/A,2572-2611,678,5.695,1.08,96.11%,ECOLOGY - SCIE,Q1
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,1365-2656,21334,5.606,2.04,26.56%,ECOLOGY - SCIE,Q1
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,0084-0173,1938-5455,926,5.4,1,62.50%,ECOLOGY - SCIE,Q1
MAMMAL REVIEW,MAMMAL REV,0305-1838,1365-2907,3156,5.373,1.23,20.80%,ECOLOGY - SCIE,Q1
Fire Ecology,FIRE ECOL,1933-9747,1933-9747,1291,5.364,1.1,100%,ECOLOGY - SCIE,Q1
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2214-5745,2214-5753,4250,5.254,0.9,14.29%,ECOLOGY - SCIE,Q1
Movement Ecology,MOV ECOL,2051-3933,2051-3933,1385,5.253,1.02,100%,ECOLOGY - SCIE,Q1
Advances in Ecological Research,ADV ECOL RES,0065-2504,2163-582X,2777,5.182,0.72,0%,ECOLOGY - SCIE,Q1
Biogeosciences,BIOGEOSCIENCES,1726-4170,1726-4189,25349,5.092,1.18,99.05%,ECOLOGY - SCIE,Q1
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,1572-9761,13472,5.043,1.09,25.54%,ECOLOGY - SCIE,Q1
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,2096-4129,2332-8878,971,4.971,0.73,100%,ECOLOGY - SCIE,Q1
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,1350-4509,1745-2627,3151,4.87,0.83,10.86%,ECOLOGY - SCIE,Q1
JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,0305-0270,1365-2699,19870,4.81,1.16,17.80%,ECOLOGY - SCIE,Q1
ECOLOGY AND SOCIETY,ECOL SOC,1708-3087,N/A,16035,4.653,1.05,98.02%,ECOLOGY - SCIE,Q1
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,0003-0090,1937-3546,3624,4.548,0.84,0%,ECOLOGY - SCIE,Q1
Ecological Informatics,ECOL INFORM,1574-9541,1878-0512,3848,4.498,1.04,9.96%,ECOLOGY - SCIE,Q2
Frontiers in Ecology and Evolution,FRONT ECOL EVOL,2296-701X,2296-701X,7755,4.493,0.81,98.92%,ECOLOGY - SCIE,Q2
Ecological Processes,ECOL PROCESS,N/A,2192-1709,1318,4.394,0.65,99.43%,ECOLOGY - SCIE,Q2
ECOLOGICAL ENGINEERING,ECOL ENG,0925-8574,1872-6992,25821,4.379,0.75,4.83%,ECOLOGY - SCIE,Q2
ANIMAL CONSERVATION,ANIM CONSERV,1367-9430,1469-1795,4596,4.371,0.96,16.46%,ECOLOGY - SCIE,Q2
ECOSYSTEMS,ECOSYSTEMS,1432-9840,1435-0629,12357,4.345,1.13,24.73%,ECOLOGY - SCIE,Q2
Frontiers in Forests and Global Change,FRONT FOR GLOB CHANG,N/A,2624-893X,1178,4.332,1.24,98.84%,ECOLOGY - SCIE,Q2
BIODIVERSITY AND CONSERVATION,BIODIVERS CONSERV,0960-3115,1572-9710,15361,4.296,0.79,24.26%,ECOLOGY - SCIE,Q2
OIKOS,OIKOS,0030-1299,1600-0706,25612,4.254,1.01,22.26%,ECOLOGY - SCIE,Q2
NeoBiota,NEOBIOTA,1619-0033,1314-2488,1332,4.225,1.08,95.63%,ECOLOGY - SCIE,Q2
Fungal Ecology,FUNGAL ECOL,1754-5048,1878-0083,4139,4.204,1.06,9.24%,ECOLOGY - SCIE,Q2
MICROBIAL ECOLOGY,MICROB ECOL,0095-3628,1432-184X,14485,4.192,1.16,15.27%,ECOLOGY - SCIE,Q2
RESTORATION ECOLOGY,RESTOR ECOL,1061-2971,1526-100X,8550,4.181,0.88,16.03%,ECOLOGY - SCIE,Q2
Global Ecology and Conservation,GLOB ECOL CONSERV,N/A,2351-9894,6394,3.969,0.91,99.57%,ECOLOGY - SCIE,Q2
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,1433-8319,1433-8319,3073,3.842,0.86,5.83%,ECOLOGY - SCIE,Q2
BASIC AND APPLIED ECOLOGY,BASIC APPL ECOL,1439-1791,1618-0089,4445,3.735,0.86,23.11%,ECOLOGY - SCIE,Q2
BIOLOGICAL INVASIONS,BIOL INVASIONS,1387-3547,1573-1464,13450,3.605,0.82,19.95%,ECOLOGY - SCIE,Q2
Ecosphere,ECOSPHERE,2150-8925,2150-8925,12509,3.593,0.82,95.73%,ECOLOGY - SCIE,Q2
FRESHWATER BIOLOGY,FRESHWATER BIOL,0046-5070,1365-2427,17200,3.538,1.05,16.39%,ECOLOGY - SCIE,Q2
ECOLOGICAL MODELLING,ECOL MODEL,0304-3800,1872-7026,23647,3.512,0.8,13.26%,ECOLOGY - SCIE,Q2
APPLIED VEGETATION SCIENCE,APPL VEG SCI,1402-2001,1654-109X,3010,3.431,1.03,23.79%,ECOLOGY - SCIE,Q2
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,1100-9233,1654-1103,10230,3.389,0.92,15.63%,ECOLOGY - SCIE,Q2
BMC ECOLOGY,BMC ECOL,N/A,1472-6785,1994,3.368,0.71,99.12%,ECOLOGY - SCIE,Q2
OECOLOGIA,OECOLOGIA,0029-8549,1432-1939,37755,3.298,0.78,20.47%,ECOLOGY - SCIE,Q2
Conservation Physiology,CONSERV PHYSIOL,2051-1434,2051-1434,2485,3.252,0.8,98.48%,ECOLOGY - SCIE,Q2
EUROPEAN JOURNAL OF SOIL BIOLOGY,EUR J SOIL BIOL,1164-5563,1778-3615,4744,3.232,0.73,6.04%,ECOLOGY - SCIE,Q2
JOURNAL OF SOIL AND WATER CONSERVATION,J SOIL WATER CONSERV,0022-4561,1941-3300,5866,3.209,0.62,1.46%,ECOLOGY - SCIE,Q2
Ecohydrology,ECOHYDROLOGY,1936-0584,1936-0592,3962,3.166,0.67,12.34%,ECOLOGY - SCIE,Q2
Animal Biotelemetry,ANIM BIOTELEM,N/A,2050-3385,799,3.155,0.64,99.04%,ECOLOGY - SCIE,Q2
AoB Plants,AOB PLANTS,2041-2851,2041-2851,2973,3.138,0.78,100%,ECOLOGY - SCIE,Q2
BEHAVIORAL ECOLOGY,BEHAV ECOL,1045-2249,1465-7279,11735,3.087,1,14.47%,ECOLOGY - SCIE,Q2
Arctic Science,ARCT SCI,N/A,2368-7460,446,3.045,0.54,94.37%,ECOLOGY - SCIE,Q2
Diversity-Basel,DIVERSITY-BASEL,N/A,1424-2818,3883,3.029,0.66,95.47%,ECOLOGY - SCIE,Q2
Ecological Complexity,ECOL COMPLEX,1476-945X,1476-9840,2449,2.969,0.54,7.24%,ECOLOGY - SCIE,Q2
ORYX,ORYX,0030-6053,1365-3008,4403,2.957,0.81,41.69%,ECOLOGY - SCIE,Q2
ECOHYDROLOGY & HYDROBIOLOGY,ECOHYDROL HYDROBIOL,1642-3593,2080-3397,1155,2.957,0.79,4.52%,ECOLOGY - SCIE,Q2
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,0340-5443,1432-0762,14307,2.944,0.99,27.19%,ECOLOGY - SCIE,Q2
ECOTOXICOLOGY,ECOTOXICOLOGY,0963-9292,1573-3017,7966,2.935,0.66,7.16%,ECOLOGY - SCIE,Q3
MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,0171-8630,1616-1599,44604,2.915,0.89,9.33%,ECOLOGY - SCIE,Q3
BIOTROPICA,BIOTROPICA,0006-3606,1744-7429,8107,2.858,0.62,10%,ECOLOGY - SCIE,Q3
JOURNAL OF CHEMICAL ECOLOGY,J CHEM ECOL,0098-0331,1573-1561,12239,2.793,0.58,22.79%,ECOLOGY - SCIE,Q3
International Journal for Parasitology-Parasites and Wildlife,INT J PARASITOL-PAR,2213-2244,2213-2244,1791,2.773,0.68,100%,ECOLOGY - SCIE,Q3
JOURNAL OF ARID ENVIRONMENTS,J ARID ENVIRON,0140-1963,1095-922X,11628,2.759,0.58,5.42%,ECOLOGY - SCIE,Q3
Journal of Biological Dynamics,J BIOL DYNAM,1751-3758,1751-3766,1134,2.726,0.62,100%,ECOLOGY - SCIE,Q3
Fire-Switzerland,FIRE-BASEL,2571-6255,2571-6255,676,2.726,1.01,91.82%,ECOLOGY - SCIE,Q3
URBAN ECOSYSTEMS,URBAN ECOSYST,1083-8155,1573-1642,4433,2.686,0.71,18.70%,ECOLOGY - SCIE,Q3
Aquatic Invasions,AQUAT INVASIONS,1798-6540,1818-5487,1852,2.651,0.74,100%,ECOLOGY - SCIE,Q3
JOURNAL OF WILDLIFE MANAGEMENT,J WILDLIFE MANAGE,0022-541X,1937-2817,12495,2.586,0.95,15.83%,ECOLOGY - SCIE,Q3
JOURNAL FOR NATURE CONSERVATION,J NAT CONSERV,1617-1381,1618-1093,2646,2.575,0.69,16.77%,ECOLOGY - SCIE,Q3
NEW ZEALAND JOURNAL OF ECOLOGY,NEW ZEAL J ECOL,0110-6465,1177-7788,1409,2.508,0.44,88.78%,ECOLOGY - SCIE,Q3
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,J EXP MAR BIOL ECOL,0022-0981,1879-1697,17743,2.476,0.74,8.26%,ECOLOGY - SCIE,Q3
Rangeland Ecology & Management,RANGELAND ECOL MANAG,1550-7424,1551-5028,3343,2.398,0.52,17.14%,ECOLOGY - SCIE,Q3
CHEMISTRY AND ECOLOGY,CHEM ECOL,0275-7540,1029-0370,1878,2.381,0.45,0.56%,ECOLOGY - SCIE,Q3
POPULATION ECOLOGY,POPUL ECOL,1438-3896,1438-390X,1577,2.367,0.48,24.04%,ECOLOGY - SCIE,Q3
Polar Science,POLAR SCI,1873-9652,1876-4428,1199,2.355,0.52,12.81%,ECOLOGY - SCIE,Q3
Freshwater Science,FRESHW SCI,2161-9549,2161-9565,2547,2.353,0.63,13.61%,ECOLOGY - SCIE,Q3
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,EUR J WILDLIFE RES,1612-4642,1439-0574,3114,2.249,0.79,24.16%,ECOLOGY - SCIE,Q3
WILDLIFE BIOLOGY,WILDLIFE BIOL,0909-6396,1903-220X,2135,2.242,0.67,96.07%,ECOLOGY - SCIE,Q3
FLORA,FLORA,0367-2530,1618-0585,4341,2.22,0.6,3.62%,ECOLOGY - SCIE,Q3
AQUATIC ECOLOGY,AQUAT ECOL,1386-2588,1573-5125,2420,2.218,0.6,14.80%,ECOLOGY - SCIE,Q3
ECOLOGICAL MANAGEMENT & RESTORATION,ECOL MANAG RESTOR,1442-7001,1442-8903,1182,2.211,0.45,8.80%,ECOLOGY - SCIE,Q3
Food Webs,FOOD WEBS,2352-2496,2352-2496,555,2.2,0.46,7.69%,ECOLOGY - SCIE,Q3
POLAR BIOLOGY,POLAR BIOL,0722-4060,1432-2056,8140,2.198,0.59,22.36%,ECOLOGY - SCIE,Q3
WILDLIFE RESEARCH,WILDLIFE RES,1035-3712,1448-5494,4014,2.178,0.93,12.10%,ECOLOGY - SCIE,Q3
CHEMOECOLOGY,CHEMOECOLOGY,0937-7409,1423-0445,1216,2.169,0.42,16.09%,ECOLOGY - SCIE,Q3
Regional Studies in Marine Science,REG STUD MAR SCI,2352-4855,2352-4855,2703,2.166,0.56,4.03%,ECOLOGY - SCIE,Q3
Landscape and Ecological Engineering,LANDSC ECOL ENG,1860-1871,1860-188X,736,2.147,0.49,4.80%,ECOLOGY - SCIE,Q3
PEDOBIOLOGIA,PEDOBIOLOGIA,0031-4056,1873-1511,3011,2.128,0.5,6.06%,ECOLOGY - SCIE,Q3
WETLANDS,WETLANDS,0277-5212,1943-6246,6056,2.074,0.44,11.82%,ECOLOGY - SCIE,Q3
ECOLOGICAL RESEARCH,ECOL RES,0912-3814,1440-1703,4620,2.056,0.5,19.73%,ECOLOGY - SCIE,Q3
WEB ECOLOGY,WEB ECOL,2193-3081,1399-1183,220,2,0.38,96.15%,ECOLOGY - SCIE,Q3
PLANT ECOLOGY,PLANT ECOL,1385-0237,1573-5052,7004,1.99,0.57,10.10%,ECOLOGY - SCIE,Q3
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,AFR J RANGE FOR SCI,1022-0119,1727-9380,806,1.966,0.46,10.28%,ECOLOGY - SCIE,Q3
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,1146-609X,1873-6238,3783,1.93,0.45,3.91%,ECOLOGY - SCIE,Q3
RANGELAND JOURNAL,RANGELAND J,1036-9872,1834-7541,1349,1.892,0.4,30.17%,ECOLOGY - SCIE,Q3
POLAR RESEARCH,POLAR RES-SWEDEN,0800-0395,1751-8369,1896,1.847,0.43,98.97%,ECOLOGY - SCIE,Q3
PLANT SPECIES BIOLOGY,PLANT SPEC BIOL,0913-557X,1442-1984,963,1.821,0.42,10.53%,ECOLOGY - SCIE,Q3
COMMUNITY ECOLOGY,COMMUNITY ECOL,1585-8553,1588-2756,911,1.803,0.32,20.21%,ECOLOGY - SCIE,Q3
JOURNAL OF TROPICAL ECOLOGY,J TROP ECOL,0266-4674,1469-7831,3828,1.8,0.38,6.82%,ECOLOGY - SCIE,Q4
Theoretical Ecology,THEOR ECOL-NETH,1874-1738,1874-1746,936,1.798,0.43,27.56%,ECOLOGY - SCIE,Q4
ENVIRONMENTAL BIOLOGY OF FISHES,ENVIRON BIOL FISH,0378-1909,1573-5133,7065,1.798,0.53,7.78%,ECOLOGY - SCIE,Q4
Journal of Plant Ecology,J PLANT ECOL,1752-9921,1752-993X,2639,1.78,0.57,8.42%,ECOLOGY - SCIE,Q4
AUSTRAL ECOLOGY,AUSTRAL ECOL,1442-9985,1442-9993,5452,1.771,0.47,2.21%,ECOLOGY - SCIE,Q4
REVISTA CHILENA DE HISTORIA NATURAL,REV CHIL HIST NAT,0716-078X,0717-6317,1574,1.733,0.48,100%,ECOLOGY - SCIE,Q4
Human-Wildlife Interactions,HUM-WILDL INTERACT,1934-4392,1936-8046,444,1.657,0.31,0%,ECOLOGY - SCIE,Q4
JOURNAL OF FRESHWATER ECOLOGY,J FRESHWATER ECOL,0270-5060,2156-6941,1487,1.634,0.38,100%,ECOLOGY - SCIE,Q4
Marine Biology Research,MAR BIOL RES,1745-1000,1745-1019,1923,1.609,0.39,5.56%,ECOLOGY - SCIE,Q4
ECOSCIENCE,ECOSCIENCE,1195-6860,2376-7626,2087,1.344,0.4,13.86%,ECOLOGY - SCIE,Q4
TROPICAL ECOLOGY,TROP ECOL,0564-3295,2661-8982,1241,1.333,0.28,2.07%,ECOLOGY - SCIE,Q4
PHYTOCOENOLOGIA,PHYTOCOENOLOGIA,0340-269X,2363-7153,679,1.314,0.45,0%,ECOLOGY - SCIE,Q4
African Journal of Wildlife Research,AFR J WILDL RES,2410-7220,2410-8200,158,1.27,0.36,0%,ECOLOGY - SCIE,Q4
AQUATIC MICROBIAL ECOLOGY,AQUAT MICROB ECOL,0948-3055,1616-1564,4383,1.263,0.43,8.82%,ECOLOGY - SCIE,Q4
COMPOST SCIENCE & UTILIZATION,COMPOST SCI UTIL,1065-657X,2326-2397,916,1.188,0.24,5.71%,ECOLOGY - SCIE,Q4
ACTA AMAZONICA,ACTA AMAZON,0044-5967,1809-4392,1996,1.091,0.41,100%,ECOLOGY - SCIE,Q4
ANNALES ZOOLOGICI FENNICI,ANN ZOOL FENN,0003-455X,1797-2450,1764,1.05,0.39,0%,ECOLOGY - SCIE,Q4
Ecological Restoration,ECOL RESTOR,1543-4060,1543-4079,604,1,0.23,0%,ECOLOGY - SCIE,Q4
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,P ACAD NAT SCI PHILA,0097-3157,N/A,1344,1,0.49,0%,ECOLOGY - SCIE,Q4
POLAR RECORD,POLAR REC,0032-2474,1475-3057,888,0.962,0.2,25.89%,ECOLOGY - SCIE,Q4
JOURNAL OF NATURAL HISTORY,J NAT HIST,0022-2933,1464-5262,4133,0.947,0.35,3.34%,ECOLOGY - SCIE,Q4
NATURAL AREAS JOURNAL,NAT AREA J,0885-8608,2162-4399,1042,0.945,0.29,0%,ECOLOGY - SCIE,Q4
Bulletin of the Peabody Museum of Natural History,B PEABODY MUS NAT HI,0079-032X,2162-4135,328,0.933,0.22,0%,ECOLOGY - SCIE,Q4
AFRICAN JOURNAL OF ECOLOGY,AFR J ECOL,0141-6707,1365-2028,2663,0.923,0.26,7.05%,ECOLOGY - SCIE,Q4
POLISH POLAR RESEARCH,POL POLAR RES,0138-0338,2081-8262,655,0.9,0.3,0%,ECOLOGY - SCIE,Q4
Eco mont-Journal on Protected Mountain Areas Research,ECO MONT,2073-106X,2073-1558,136,0.839,0.21,98.48%,ECOLOGY - SCIE,Q4
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,APPL ECOL ENV RES,1589-1623,1785-0037,2896,0.816,0.17,99.68%,ECOLOGY - SCIE,Q4
NORTHWEST SCIENCE,NORTHWEST SCI,0029-344X,2161-9859,840,0.8,0.18,0%,ECOLOGY - SCIE,Q4
Journal of Fish and Wildlife Management,J FISH WILDL MANAG,1944-687X,N/A,583,0.797,0.2,97.11%,ECOLOGY - SCIE,Q4
RUSSIAN JOURNAL OF ECOLOGY,RUSS J ECOL+,1067-4136,1608-3334,1230,0.741,0.16,0%,ECOLOGY - SCIE,Q4
Contemporary Problems of Ecology,CONTEMP PROBL ECOL+,1995-4255,1995-4263,801,0.732,0.17,0%,ECOLOGY - SCIE,Q4
AMERICAN MIDLAND NATURALIST,AM MIDL NAT,0003-0031,1938-4238,3883,0.731,0.2,0%,ECOLOGY - SCIE,Q4
SOUTHEASTERN NATURALIST,SOUTHEAST NAT,1528-7092,1938-5412,983,0.669,0.14,0%,ECOLOGY - SCIE,Q4
POLISH JOURNAL OF ECOLOGY,POL J ECOL,1505-2249,N/A,892,0.544,0.12,0%,ECOLOGY - SCIE,Q4
VIE ET MILIEU-LIFE AND ENVIRONMENT,VIE MILIEU,0240-8759,N/A,749,0.534,0.15,0%,ECOLOGY - SCIE,Q4
NORTHEASTERN NATURALIST,NORTHEAST NAT,1092-6194,1938-5307,967,0.486,0.16,0%,ECOLOGY - SCIE,Q4
WESTERN NORTH AMERICAN NATURALIST,WEST N AM NATURALIST,1527-0904,1944-8341,776,0.484,0.15,0%,ECOLOGY - SCIE,Q4
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,P LINN SOC N S W,0370-047X,N/A,798,0.409,0.14,0%,ECOLOGY - SCIE,Q4
INTERCIENCIA,INTERCIENCIA,0378-1844,0378-1844,1223,0.396,0.09,0%,ECOLOGY - SCIE,Q4
SOUTHWESTERN NATURALIST,SOUTHWEST NAT,0038-4909,1943-6262,1348,0.149,0.04,0%,ECOLOGY - SCIE,Q4
NATURAL HISTORY,NAT HIST,0028-0712,N/A,428,0.041,0,0%,ECOLOGY - SCIE,Q4
Tropics,TROPICS,0917-415X,1882-5729,305,N/A,0.17,100%,ECOLOGY - ESCI,N/A
Vestnik Tomskogo Gosudarstvennogo Universiteta-Biologiya,VESTN TOMSK GOS U BI,1998-8591,2311-2077,55,N/A,0.1,0%,ECOLOGY - ESCI,N/A
Ambient Science,AMBIENT SCI,2348-5191,2348-8980,53,N/A,0.02,92.46%,ECOLOGY - ESCI,N/A
Arid Ecosystems,ARID ECOSYST,2079-0961,2079-0988,223,N/A,0.14,0%,ECOLOGY - ESCI,N/A
Folia Oecologica,FOLIA OECOLOGICA,1336-5266,1338-7014,141,N/A,0.29,100%,ECOLOGY - ESCI,N/A
Ecologia Aplicada,ECOL APL,1726-2216,1993-9507,135,N/A,0.08,100%,ECOLOGY - ESCI,N/A
Biosystems Diversity,BIOSYST DIVERSITY,2519-8513,2520-2529,207,N/A,0.28,100%,ECOLOGY - ESCI,N/A
Ecological Questions,ECOL QUEST,1644-7298,2083-5469,188,N/A,0.26,79.21%,ECOLOGY - ESCI,N/A
Soil Ecology Letters,SOIL ECOL LETT,2662-2289,2662-2297,231,N/A,0.6,2.94%,ECOLOGY - ESCI,N/A
Neotropical Biodiversity,NEOTROP BIODIVERS,N/A,2376-6808,153,N/A,0.27,98.94%,ECOLOGY - ESCI,N/A
Theoretical and Applied Ecology,THEOR APPL ECOL,1995-4301,2618-8406,218,N/A,0.12,0%,ECOLOGY - ESCI,N/A
South of Russia-Ecology Development,S RUSS-ECOL DEV,1992-1098,2413-0958,78,N/A,0.06,95.65%,ECOLOGY - ESCI,N/A
Journal of Wildlife and Biodiversity,J WILDLIFE BIODIVERS,N/A,2588-3526,54,N/A,0.16,0%,ECOLOGY - ESCI,N/A
Russian Journal of Biological Invasions,RUSS J BIOL INVASION,2075-1117,2075-1125,356,N/A,0.15,0%,ECOLOGY - ESCI,N/A
International Journal of Ecology & Development,INT J ECOL DEV,0972-9984,0973-7308,109,N/A,0.06,0%,ECOLOGY - ESCI,N/A
Ecosistemas,ECOSISTEMAS,1697-2473,N/A,491,N/A,0.18,86.52%,ECOLOGY - ESCI,N/A
SYSTEMATIC BIOLOGY,SYST BIOL,1063-5157,1076-836X,21478,9.16,3.05,37%,EVOLUTIONARY BIOLOGY - SCIE,Q1
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,0737-4038,1537-1719,67311,8.8,2.98,75.88%,EVOLUTIONARY BIOLOGY - SCIE,Q1
Evolution Letters,EVOL LETT,N/A,2056-3744,1065,6.494,1.16,92.31%,EVOLUTIONARY BIOLOGY - SCIE,Q1
Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,N/A,2050-6201,831,5.143,0.89,97.53%,EVOLUTIONARY BIOLOGY - SCIE,Q1
MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,1055-7903,1095-9513,24132,5.019,1.06,11%,EVOLUTIONARY BIOLOGY - SCIE,Q1
Evolutionary Applications,EVOL APPL,1752-4571,1752-4571,7387,4.929,1.07,97.20%,EVOLUTIONARY BIOLOGY - SCIE,Q1
