Journal Data Filtered By:  Selected Categories: ECOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default,,,,,,,,,
,,,,,,,,,
Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,1873-6106,ECOLOGY - SCIE,"36,096",6.536,Q1,1.58,18.20%
ECOLOGY,ECOLOGY,0012-9658,1939-9170,ECOLOGY - SCIE,"72,018",6.431,Q1,1.36,18.96%
JOURNAL OF ECOLOGY,J ECOL,0022-0477,1365-2745,ECOLOGY - SCIE,"26,651",6.381,Q1,1.6,21.02%
FUNCTIONAL ECOLOGY,FUNCT ECOL,0269-8463,1365-2435,ECOLOGY - SCIE,"22,359",6.282,Q1,1.32,19.32%
ECOLOGICAL APPLICATIONS,ECOL APPL,1051-0761,1939-5582,ECOLOGY - SCIE,"26,273",6.105,Q1,1.14,26.53%
Remote Sensing in Ecology and Conservation,REMOTE SENS ECOL CON,N/A,2056-3485,ECOLOGY - SCIE,"1,112",5.787,Q1,1.33,97.06%
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,1366-9516,1472-4642,ECOLOGY - SCIE,"12,239",5.714,Q1,1.28,92.34%
Plants People Planet,PLANTS PEOPLE PLANET,N/A,2572-2611,ECOLOGY - SCIE,678,5.695,Q1,1.08,96.11%
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,1365-2656,ECOLOGY - SCIE,"21,334",5.606,Q1,2.04,26.56%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,ECOLOGY - SCIE,"67,725",5.53,Q1,1.27,32.84%
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,0084-0173,1938-5455,ECOLOGY - SCIE,926,5.4,Q1,1,62.50%
MAMMAL REVIEW,MAMMAL REV,0305-1838,1365-2907,ECOLOGY - SCIE,"3,156",5.373,Q1,1.23,20.80%
Fire Ecology,FIRE ECOL,1933-9747,1933-9747,ECOLOGY - SCIE,"1,291",5.364,Q1,1.1,100%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2214-5745,2214-5753,ECOLOGY - SCIE,"4,250",5.254,Q1,0.9,14.29%
Movement Ecology,MOV ECOL,2051-3933,2051-3933,ECOLOGY - SCIE,"1,385",5.253,Q1,1.02,100%
Advances in Ecological Research,ADV ECOL RES,0065-2504,2163-582X,ECOLOGY - SCIE,"2,777",5.182,Q1,0.72,0%
Biogeosciences,BIOGEOSCIENCES,1726-4170,1726-4189,ECOLOGY - SCIE,"25,349",5.092,Q1,1.18,99.05%
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,1572-9761,ECOLOGY - SCIE,"13,472",5.043,Q1,1.09,25.54%
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,2096-4129,2332-8878,ECOLOGY - SCIE,971,4.971,Q1,0.73,100%
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,1350-4509,1745-2627,ECOLOGY - SCIE,"3,151",4.87,Q1,0.83,10.86%
JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,0305-0270,1365-2699,ECOLOGY - SCIE,"19,870",4.81,Q1,1.16,17.80%
ECOLOGY AND SOCIETY,ECOL SOC,1708-3087,N/A,ECOLOGY - SCIE,"16,035",4.653,Q1,1.05,98.02%
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,0003-0090,1937-3546,ECOLOGY - SCIE,"3,624",4.548,Q1,0.84,0%
Ecological Informatics,ECOL INFORM,1574-9541,1878-0512,ECOLOGY - SCIE,"3,848",4.498,Q2,1.04,9.96%
Frontiers in Ecology and Evolution,FRONT ECOL EVOL,2296-701X,2296-701X,ECOLOGY - SCIE,"7,755",4.493,Q2,0.81,98.92%
Ecological Processes,ECOL PROCESS,N/A,2192-1709,ECOLOGY - SCIE,"1,318",4.394,Q2,0.65,99.43%
ECOLOGICAL ENGINEERING,ECOL ENG,0925-8574,1872-6992,ECOLOGY - SCIE,"25,821",4.379,Q2,0.75,4.83%
ANIMAL CONSERVATION,ANIM CONSERV,1367-9430,1469-1795,ECOLOGY - SCIE,"4,596",4.371,Q2,0.96,16.46%
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,ECOLOGY - SCIE,"31,923",4.367,Q2,1.03,16.19%
ECOSYSTEMS,ECOSYSTEMS,1432-9840,1435-0629,ECOLOGY - SCIE,"12,357",4.345,Q2,1.13,24.73%
Frontiers in Forests and Global Change,FRONT FOR GLOB CHANG,N/A,2624-893X,ECOLOGY - SCIE,"1,178",4.332,Q2,1.24,98.84%
BIODIVERSITY AND CONSERVATION,BIODIVERS CONSERV,0960-3115,1572-9710,ECOLOGY - SCIE,"15,361",4.296,Q2,0.79,24.26%
OIKOS,OIKOS,0030-1299,1600-0706,ECOLOGY - SCIE,"25,612",4.254,Q2,1.01,22.26%
NeoBiota,NEOBIOTA,1619-0033,1314-2488,ECOLOGY - SCIE,"1,332",4.225,Q2,1.08,95.63%
Fungal Ecology,FUNGAL ECOL,1754-5048,1878-0083,ECOLOGY - SCIE,"4,139",4.204,Q2,1.06,9.24%
MICROBIAL ECOLOGY,MICROB ECOL,0095-3628,1432-184X,ECOLOGY - SCIE,"14,485",4.192,Q2,1.16,15.27%
RESTORATION ECOLOGY,RESTOR ECOL,1061-2971,1526-100X,ECOLOGY - SCIE,"8,550",4.181,Q2,0.88,16.03%
EVOLUTION,EVOLUTION,0014-3820,1558-5646,ECOLOGY - SCIE,"33,634",4.171,Q2,0.93,23%
Global Ecology and Conservation,GLOB ECOL CONSERV,N/A,2351-9894,ECOLOGY - SCIE,"6,394",3.969,Q2,0.91,99.57%
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,1433-8319,1433-8319,ECOLOGY - SCIE,"3,073",3.842,Q2,0.86,5.83%
HEREDITY,HEREDITY,0018-067X,1365-2540,ECOLOGY - SCIE,"11,502",3.832,Q2,0.92,33.33%
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,ECOLOGY - SCIE,"13,630",3.812,Q2,0.89,N/A
BASIC AND APPLIED ECOLOGY,BASIC APPL ECOL,1439-1791,1618-0089,ECOLOGY - SCIE,"4,445",3.735,Q2,0.86,23.11%
BIOLOGICAL INVASIONS,BIOL INVASIONS,1387-3547,1573-1464,ECOLOGY - SCIE,"13,450",3.605,Q2,0.82,19.95%
Ecosphere,ECOSPHERE,2150-8925,2150-8925,ECOLOGY - SCIE,"12,509",3.593,Q2,0.82,95.73%
FRESHWATER BIOLOGY,FRESHWATER BIOL,0046-5070,1365-2427,ECOLOGY - SCIE,"17,200",3.538,Q2,1.05,16.39%
ECOLOGICAL MODELLING,ECOL MODEL,0304-3800,1872-7026,ECOLOGY - SCIE,"23,647",3.512,Q2,0.8,13.26%
APPLIED VEGETATION SCIENCE,APPL VEG SCI,1402-2001,1654-109X,ECOLOGY - SCIE,"3,010",3.431,Q2,1.03,23.79%
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,1100-9233,1654-1103,ECOLOGY - SCIE,"10,230",3.389,Q2,0.92,15.63%
BMC ECOLOGY,BMC ECOL,N/A,1472-6785,ECOLOGY - SCIE,"1,994",3.368,Q2,0.71,99.12%
OECOLOGIA,OECOLOGIA,0029-8549,1432-1939,ECOLOGY - SCIE,"37,755",3.298,Q2,0.78,20.47%
Conservation Physiology,CONSERV PHYSIOL,2051-1434,2051-1434,ECOLOGY - SCIE,"2,485",3.252,Q2,0.8,98.48%
EUROPEAN JOURNAL OF SOIL BIOLOGY,EUR J SOIL BIOL,1164-5563,1778-3615,ECOLOGY - SCIE,"4,744",3.232,Q2,0.73,6.04%
JOURNAL OF SOIL AND WATER CONSERVATION,J SOIL WATER CONSERV,0022-4561,1941-3300,ECOLOGY - SCIE,"5,866",3.209,Q2,0.62,1.46%
Ecology and Evolution,ECOL EVOL,2045-7758,2045-7758,ECOLOGY - SCIE,"23,690",3.167,Q2,0.68,96.06%
Ecohydrology,ECOHYDROLOGY,1936-0584,1936-0592,ECOLOGY - SCIE,"3,962",3.166,Q2,0.67,12.34%
Animal Biotelemetry,ANIM BIOTELEM,N/A,2050-3385,ECOLOGY - SCIE,799,3.155,Q2,0.64,99.04%
PALEOBIOLOGY,PALEOBIOLOGY,0094-8373,1938-5331,ECOLOGY - SCIE,"4,634",3.153,Q2,0.85,40.35%
AoB Plants,AOB PLANTS,2041-2851,2041-2851,ECOLOGY - SCIE,"2,973",3.138,Q2,0.78,100%
BEHAVIORAL ECOLOGY,BEHAV ECOL,1045-2249,1465-7279,ECOLOGY - SCIE,"11,735",3.087,Q2,1,14.47%
Arctic Science,ARCT SCI,N/A,2368-7460,ECOLOGY - SCIE,446,3.045,Q2,0.54,94.37%
Diversity-Basel,DIVERSITY-BASEL,N/A,1424-2818,ECOLOGY - SCIE,"3,883",3.029,Q2,0.66,95.47%
Ecological Complexity,ECOL COMPLEX,1476-945X,1476-9840,ECOLOGY - SCIE,"2,449",2.969,Q2,0.54,7.24%
ORYX,ORYX,0030-6053,1365-3008,ECOLOGY - SCIE,"4,403",2.957,Q2,0.81,41.69%
ECOHYDROLOGY & HYDROBIOLOGY,ECOHYDROL HYDROBIOL,1642-3593,2080-3397,ECOLOGY - SCIE,"1,155",2.957,Q2,0.79,4.52%
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,0340-5443,1432-0762,ECOLOGY - SCIE,"14,307",2.944,Q2,0.99,27.19%
ECOTOXICOLOGY,ECOTOXICOLOGY,0963-9292,1573-3017,ECOLOGY - SCIE,"7,966",2.935,Q3,0.66,7.16%
MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,0171-8630,1616-1599,ECOLOGY - SCIE,"44,604",2.915,Q3,0.89,9.33%
BIOTROPICA,BIOTROPICA,0006-3606,1744-7429,ECOLOGY - SCIE,"8,107",2.858,Q3,0.62,10%
JOURNAL OF CHEMICAL ECOLOGY,J CHEM ECOL,0098-0331,1573-1561,ECOLOGY - SCIE,"12,239",2.793,Q3,0.58,22.79%
International Journal for Parasitology-Parasites and Wildlife,INT J PARASITOL-PAR,2213-2244,2213-2244,ECOLOGY - SCIE,"1,791",2.773,Q3,0.68,100%
JOURNAL OF ARID ENVIRONMENTS,J ARID ENVIRON,0140-1963,1095-922X,ECOLOGY - SCIE,"11,628",2.759,Q3,0.58,5.42%
Journal of Biological Dynamics,J BIOL DYNAM,1751-3758,1751-3766,ECOLOGY - SCIE,"1,134",2.726,Q3,0.62,100%
Fire-Switzerland,FIRE-BASEL,2571-6255,2571-6255,ECOLOGY - SCIE,676,2.726,Q3,1.01,91.82%
URBAN ECOSYSTEMS,URBAN ECOSYST,1083-8155,1573-1642,ECOLOGY - SCIE,"4,433",2.686,Q3,0.71,18.70%
Aquatic Invasions,AQUAT INVASIONS,1798-6540,1818-5487,ECOLOGY - SCIE,"1,852",2.651,Q3,0.74,100%
JOURNAL OF WILDLIFE MANAGEMENT,J WILDLIFE MANAGE,0022-541X,1937-2817,ECOLOGY - SCIE,"12,495",2.586,Q3,0.95,15.83%
JOURNAL FOR NATURE CONSERVATION,J NAT CONSERV,1617-1381,1618-1093,ECOLOGY - SCIE,"2,646",2.575,Q3,0.69,16.77%
JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,1010-061X,1420-9101,ECOLOGY - SCIE,"11,610",2.516,Q3,0.6,25.94%
NEW ZEALAND JOURNAL OF ECOLOGY,NEW ZEAL J ECOL,0110-6465,1177-7788,ECOLOGY - SCIE,"1,409",2.508,Q3,0.44,88.78%
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,J EXP MAR BIOL ECOL,0022-0981,1879-1697,ECOLOGY - SCIE,"17,743",2.476,Q3,0.74,8.26%
Rangeland Ecology & Management,RANGELAND ECOL MANAG,1550-7424,1551-5028,ECOLOGY - SCIE,"3,343",2.398,Q3,0.52,17.14%
CHEMISTRY AND ECOLOGY,CHEM ECOL,0275-7540,1029-0370,ECOLOGY - SCIE,"1,878",2.381,Q3,0.45,0.56%
POPULATION ECOLOGY,POPUL ECOL,1438-3896,1438-390X,ECOLOGY - SCIE,"1,577",2.367,Q3,0.48,24.04%
Polar Science,POLAR SCI,1873-9652,1876-4428,ECOLOGY - SCIE,"1,199",2.355,Q3,0.52,12.81%
Freshwater Science,FRESHW SCI,2161-9549,2161-9565,ECOLOGY - SCIE,"2,547",2.353,Q3,0.63,13.61%
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,EUR J WILDLIFE RES,1612-4642,1439-0574,ECOLOGY - SCIE,"3,114",2.249,Q3,0.79,24.16%
WILDLIFE BIOLOGY,WILDLIFE BIOL,0909-6396,1903-220X,ECOLOGY - SCIE,"2,135",2.242,Q3,0.67,96.07%
FLORA,FLORA,0367-2530,1618-0585,ECOLOGY - SCIE,"4,341",2.22,Q3,0.6,3.62%
AQUATIC ECOLOGY,AQUAT ECOL,1386-2588,1573-5125,ECOLOGY - SCIE,"2,420",2.218,Q3,0.6,14.80%
ECOLOGICAL MANAGEMENT & RESTORATION,ECOL MANAG RESTOR,1442-7001,1442-8903,ECOLOGY - SCIE,"1,182",2.211,Q3,0.45,8.80%
Food Webs,FOOD WEBS,2352-2496,2352-2496,ECOLOGY - SCIE,555,2.2,Q3,0.46,7.69%
POLAR BIOLOGY,POLAR BIOL,0722-4060,1432-2056,ECOLOGY - SCIE,"8,140",2.198,Q3,0.59,22.36%
WILDLIFE RESEARCH,WILDLIFE RES,1035-3712,1448-5494,ECOLOGY - SCIE,"4,014",2.178,Q3,0.93,12.10%
CHEMOECOLOGY,CHEMOECOLOGY,0937-7409,1423-0445,ECOLOGY - SCIE,"1,216",2.169,Q3,0.42,16.09%
Regional Studies in Marine Science,REG STUD MAR SCI,2352-4855,2352-4855,ECOLOGY - SCIE,"2,703",2.166,Q3,0.56,4.03%
Landscape and Ecological Engineering,LANDSC ECOL ENG,1860-1871,1860-188X,ECOLOGY - SCIE,736,2.147,Q3,0.49,4.80%
PEDOBIOLOGIA,PEDOBIOLOGIA,0031-4056,1873-1511,ECOLOGY - SCIE,"3,011",2.128,Q3,0.5,6.06%
WETLANDS,WETLANDS,0277-5212,1943-6246,ECOLOGY - SCIE,"6,056",2.074,Q3,0.44,11.82%
EVOLUTIONARY ECOLOGY,EVOL ECOL,0269-7653,1573-8477,ECOLOGY - SCIE,"3,932",2.074,Q3,0.49,12.57%
ECOLOGICAL RESEARCH,ECOL RES,0912-3814,1440-1703,ECOLOGY - SCIE,"4,620",2.056,Q3,0.5,19.73%
WEB ECOLOGY,WEB ECOL,2193-3081,1399-1183,ECOLOGY - SCIE,220,2,Q3,0.38,96.15%
PLANT ECOLOGY,PLANT ECOL,1385-0237,1573-5052,ECOLOGY - SCIE,"7,004",1.99,Q3,0.57,10.10%
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,AFR J RANGE FOR SCI,1022-0119,1727-9380,ECOLOGY - SCIE,806,1.966,Q3,0.46,10.28%
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,1146-609X,1873-6238,ECOLOGY - SCIE,"3,783",1.93,Q3,0.45,3.91%
RANGELAND JOURNAL,RANGELAND J,1036-9872,1834-7541,ECOLOGY - SCIE,"1,349",1.892,Q3,0.4,30.17%
POLAR RESEARCH,POLAR RES-SWEDEN,0800-0395,1751-8369,ECOLOGY - SCIE,"1,896",1.847,Q3,0.43,98.97%
PLANT SPECIES BIOLOGY,PLANT SPEC BIOL,0913-557X,1442-1984,ECOLOGY - SCIE,963,1.821,Q3,0.42,10.53%
COMMUNITY ECOLOGY,COMMUNITY ECOL,1585-8553,1588-2756,ECOLOGY - SCIE,911,1.803,Q3,0.32,20.21%
JOURNAL OF TROPICAL ECOLOGY,J TROP ECOL,0266-4674,1469-7831,ECOLOGY - SCIE,"3,828",1.8,Q4,0.38,6.82%
Theoretical Ecology,THEOR ECOL-NETH,1874-1738,1874-1746,ECOLOGY - SCIE,936,1.798,Q4,0.43,27.56%
ENVIRONMENTAL BIOLOGY OF FISHES,ENVIRON BIOL FISH,0378-1909,1573-5133,ECOLOGY - SCIE,"7,065",1.798,Q4,0.53,7.78%
Journal of Plant Ecology,J PLANT ECOL,1752-9921,1752-993X,ECOLOGY - SCIE,"2,639",1.78,Q4,0.57,8.42%
AUSTRAL ECOLOGY,AUSTRAL ECOL,1442-9985,1442-9993,ECOLOGY - SCIE,"5,452",1.771,Q4,0.47,2.21%
REVISTA CHILENA DE HISTORIA NATURAL,REV CHIL HIST NAT,0716-078X,0717-6317,ECOLOGY - SCIE,"1,574",1.733,Q4,0.48,100%
Human-Wildlife Interactions,HUM-WILDL INTERACT,1934-4392,1936-8046,ECOLOGY - SCIE,444,1.657,Q4,0.31,0%
JOURNAL OF FRESHWATER ECOLOGY,J FRESHWATER ECOL,0270-5060,2156-6941,ECOLOGY - SCIE,"1,487",1.634,Q4,0.38,100%
Marine Biology Research,MAR BIOL RES,1745-1000,1745-1019,ECOLOGY - SCIE,"1,923",1.609,Q4,0.39,5.56%
THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,0040-5809,1096-0325,ECOLOGY - SCIE,"4,282",1.514,Q4,0.4,15%
Israel Journal of Ecology & Evolution,ISR J ECOL EVOL,1565-9801,2224-4662,ECOLOGY - SCIE,345,1.463,Q4,0.28,1.64%
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,0305-1978,1873-2925,ECOLOGY - SCIE,"5,199",1.462,Q4,0.3,1.91%
ECOSCIENCE,ECOSCIENCE,1195-6860,2376-7626,ECOLOGY - SCIE,"2,087",1.344,Q4,0.4,13.86%
TROPICAL ECOLOGY,TROP ECOL,0564-3295,2661-8982,ECOLOGY - SCIE,"1,241",1.333,Q4,0.28,2.07%
PHYTOCOENOLOGIA,PHYTOCOENOLOGIA,0340-269X,2363-7153,ECOLOGY - SCIE,679,1.314,Q4,0.45,0%
African Journal of Wildlife Research,AFR J WILDL RES,2410-7220,2410-8200,ECOLOGY - SCIE,158,1.27,Q4,0.36,0%
AQUATIC MICROBIAL ECOLOGY,AQUAT MICROB ECOL,0948-3055,1616-1564,ECOLOGY - SCIE,"4,383",1.263,Q4,0.43,8.82%
COMPOST SCIENCE & UTILIZATION,COMPOST SCI UTIL,1065-657X,2326-2397,ECOLOGY - SCIE,916,1.188,Q4,0.24,5.71%
ACTA AMAZONICA,ACTA AMAZON,0044-5967,1809-4392,ECOLOGY - SCIE,"1,996",1.091,Q4,0.41,100%
ANNALES ZOOLOGICI FENNICI,ANN ZOOL FENN,0003-455X,1797-2450,ECOLOGY - SCIE,"1,764",1.05,Q4,0.39,0%
Ecological Restoration,ECOL RESTOR,1543-4060,1543-4079,ECOLOGY - SCIE,604,1,Q4,0.23,0%
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,P ACAD NAT SCI PHILA,0097-3157,N/A,ECOLOGY - SCIE,"1,344",1,Q4,0.49,0%
POLAR RECORD,POLAR REC,0032-2474,1475-3057,ECOLOGY - SCIE,888,0.962,Q4,0.2,25.89%
JOURNAL OF NATURAL HISTORY,J NAT HIST,0022-2933,1464-5262,ECOLOGY - SCIE,"4,133",0.947,Q4,0.35,3.34%
NATURAL AREAS JOURNAL,NAT AREA J,0885-8608,2162-4399,ECOLOGY - SCIE,"1,042",0.945,Q4,0.29,0%
Bulletin of the Peabody Museum of Natural History,B PEABODY MUS NAT HI,0079-032X,2162-4135,ECOLOGY - SCIE,328,0.933,Q4,0.22,0%
AFRICAN JOURNAL OF ECOLOGY,AFR J ECOL,0141-6707,1365-2028,ECOLOGY - SCIE,"2,663",0.923,Q4,0.26,7.05%
POLISH POLAR RESEARCH,POL POLAR RES,0138-0338,2081-8262,ECOLOGY - SCIE,655,0.9,Q4,0.3,0%
Eco mont-Journal on Protected Mountain Areas Research,ECO MONT,2073-106X,2073-1558,ECOLOGY - SCIE,136,0.839,Q4,0.21,98.48%
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,APPL ECOL ENV RES,1589-1623,1785-0037,ECOLOGY - SCIE,"2,896",0.816,Q4,0.17,99.68%
NORTHWEST SCIENCE,NORTHWEST SCI,0029-344X,2161-9859,ECOLOGY - SCIE,840,0.8,Q4,0.18,0%
Journal of Fish and Wildlife Management,J FISH WILDL MANAG,1944-687X,N/A,ECOLOGY - SCIE,583,0.797,Q4,0.2,97.11%
RUSSIAN JOURNAL OF ECOLOGY,RUSS J ECOL+,1067-4136,1608-3334,ECOLOGY - SCIE,"1,230",0.741,Q4,0.16,0%
Contemporary Problems of Ecology,CONTEMP PROBL ECOL+,1995-4255,1995-4263,ECOLOGY - SCIE,801,0.732,Q4,0.17,0%
AMERICAN MIDLAND NATURALIST,AM MIDL NAT,0003-0031,1938-4238,ECOLOGY - SCIE,"3,883",0.731,Q4,0.2,0%
SOUTHEASTERN NATURALIST,SOUTHEAST NAT,1528-7092,1938-5412,ECOLOGY - SCIE,983,0.669,Q4,0.14,0%
POLISH JOURNAL OF ECOLOGY,POL J ECOL,1505-2249,N/A,ECOLOGY - SCIE,892,0.544,Q4,0.12,0%
VIE ET MILIEU-LIFE AND ENVIRONMENT,VIE MILIEU,0240-8759,N/A,ECOLOGY - SCIE,749,0.534,Q4,0.15,0%
NORTHEASTERN NATURALIST,NORTHEAST NAT,1092-6194,1938-5307,ECOLOGY - SCIE,967,0.486,Q4,0.16,0%
WESTERN NORTH AMERICAN NATURALIST,WEST N AM NATURALIST,1527-0904,1944-8341,ECOLOGY - SCIE,776,0.484,Q4,0.15,0%
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,P LINN SOC N S W,0370-047X,N/A,ECOLOGY - SCIE,798,0.409,Q4,0.14,0%
INTERCIENCIA,INTERCIENCIA,0378-1844,0378-1844,ECOLOGY - SCIE,"1,223",0.396,Q4,0.09,0%
SOUTHWESTERN NATURALIST,SOUTHWEST NAT,0038-4909,1943-6262,ECOLOGY - SCIE,"1,348",0.149,Q4,0.04,0%
NATURAL HISTORY,NAT HIST,0028-0712,N/A,ECOLOGY - SCIE,428,0.041,Q4,0,0%
Tropics,TROPICS,0917-415X,1882-5729,ECOLOGY - ESCI,305,N/A,N/A,0.17,100%
Vestnik Tomskogo Gosudarstvennogo Universiteta-Biologiya,VESTN TOMSK GOS U BI,1998-8591,2311-2077,ECOLOGY - ESCI,55,N/A,N/A,0.1,0%
Ambient Science,AMBIENT SCI,2348-5191,2348-8980,ECOLOGY - ESCI,53,N/A,N/A,0.02,92.46%
Arid Ecosystems,ARID ECOSYST,2079-0961,2079-0988,ECOLOGY - ESCI,223,N/A,N/A,0.14,0%
Folia Oecologica,FOLIA OECOLOGICA,1336-5266,1338-7014,ECOLOGY - ESCI,141,N/A,N/A,0.29,100%
Ecologia Aplicada,ECOL APL,1726-2216,1993-9507,ECOLOGY - ESCI,135,N/A,N/A,0.08,100%
Biosystems Diversity,BIOSYST DIVERSITY,2519-8513,2520-2529,ECOLOGY - ESCI,207,N/A,N/A,0.28,100%
Ecological Questions,ECOL QUEST,1644-7298,2083-5469,ECOLOGY - ESCI,188,N/A,N/A,0.26,79.21%
Soil Ecology Letters,SOIL ECOL LETT,2662-2289,2662-2297,ECOLOGY - ESCI,231,N/A,N/A,0.6,2.94%
Neotropical Biodiversity,NEOTROP BIODIVERS,N/A,2376-6808,ECOLOGY - ESCI,153,N/A,N/A,0.27,98.94%
BMC Ecology and Evolution,BMC ECOL EVOL,N/A,2730-7182,ECOLOGY - SCIE,115,N/A,N/A,N/A,99.53%
Theoretical and Applied Ecology,THEOR APPL ECOL,1995-4301,2618-8406,ECOLOGY - ESCI,218,N/A,N/A,0.12,0%
South of Russia-Ecology Development,S RUSS-ECOL DEV,1992-1098,2413-0958,ECOLOGY - ESCI,78,N/A,N/A,0.06,95.65%
